1520482329,f2bbccddeeaa,1520482294,ffbbccddeeaa,-75,2 
1520482329,f3bbccddeeaa,1520482307,ffbbccddeeaa,-69,2 
1520482329,f2bbccddeeaa,1520482300,ffbbccddeeaa,-86,2 
1520482330,f3bbccddeeaa,1520482309,ffbbccddeeaa,-71,2 
1520482330,f4bbccddeeaa,1520482302,ffbbccddeeaa,-79,2 
1520482330,f2bbccddeeaa,1520482304,ffbbccddeeaa,-83,2 
1520482331,f3bbccddeeaa,1520482310,ffbbccddeeaa,-79,2 
1520482331,f4bbccddeeaa,1520482304,ffbbccddeeaa,-76,2 
1520482331,f2bbccddeeaa,1520482309,ffbbccddeeaa,-79,2 
1520482331,f3bbccddeeaa,1520482312,ffbbccddeeaa,-79,2 
1520482331,f4bbccddeeaa,1520482307,ffbbccddeeaa,-85,2 
1520482331,f1bbccddeeaa,1520482305,ffbbccddeeaa,-88,2 
1520482331,f2bbccddeeaa,1520482310,ffbbccddeeaa,-68,2 
1520482332,f4bbccddeeaa,1520482309,ffbbccddeeaa,-79,2 
1520482332,f3bbccddeeaa,1520482314,ffbbccddeeaa,-75,2 
1520482332,f1bbccddeeaa,1520482314,ffbbccddeeaa,-80,2 
1520482332,f2bbccddeeaa,1520482312,ffbbccddeeaa,-76,2 
1520482332,f4bbccddeeaa,1520482310,ffbbccddeeaa,-72,2 
1520482332,f1bbccddeeaa,1520482317,ffbbccddeeaa,-83,2 
1520482333,f3bbccddeeaa,1520482316,ffbbccddeeaa,-79,2 
1520482333,f2bbccddeeaa,1520482314,ffbbccddeeaa,-74,2 
1520482333,f4bbccddeeaa,1520482312,ffbbccddeeaa,-75,2 
1520482333,f1bbccddeeaa,1520482319,ffbbccddeeaa,-85,2 
1520482333,f3bbccddeeaa,1520482321,ffbbccddeeaa,-81,2 
1520482334,f2bbccddeeaa,1520482318,ffbbccddeeaa,-72,2 
1520482334,f4bbccddeeaa,1520482316,ffbbccddeeaa,-73,2 
1520482334,f3bbccddeeaa,1520482323,ffbbccddeeaa,-81,2 
1520482334,f1bbccddeeaa,1520482320,ffbbccddeeaa,-75,2 
1520482334,f2bbccddeeaa,1520482321,ffbbccddeeaa,-70,2 
1520482334,f4bbccddeeaa,1520482318,ffbbccddeeaa,-78,2 
1520482334,f3bbccddeeaa,1520482326,ffbbccddeeaa,-75,2 
1520482335,f1bbccddeeaa,1520482322,ffbbccddeeaa,-76,2 
1520482335,f2bbccddeeaa,1520482325,ffbbccddeeaa,-70,2 
1520482335,f4bbccddeeaa,1520482323,ffbbccddeeaa,-79,2 
1520482335,f3bbccddeeaa,1520482328,ffbbccddeeaa,-84,2 
1520482335,f1bbccddeeaa,1520482324,ffbbccddeeaa,-76,2 
1520482336,f2bbccddeeaa,1520482330,ffbbccddeeaa,-74,2 
1520482336,f3bbccddeeaa,1520482331,ffbbccddeeaa,-72,2 
1520482336,f4bbccddeeaa,1520482327,ffbbccddeeaa,-78,2 
1520482336,f1bbccddeeaa,1520482326,ffbbccddeeaa,-76,2 
1520482336,f2bbccddeeaa,1520482330,ffbbccddeeaa,-77,2 
1520482336,f3bbccddeeaa,1520482333,ffbbccddeeaa,-72,2 
1520482336,f4bbccddeeaa,1520482330,ffbbccddeeaa,-78,2 
1520482337,f1bbccddeeaa,1520482328,ffbbccddeeaa,-74,2 
1520482337,f2bbccddeeaa,1520482332,ffbbccddeeaa,-73,2 
1520482337,f3bbccddeeaa,1520482336,ffbbccddeeaa,-75,2 
1520482337,f4bbccddeeaa,1520482333,ffbbccddeeaa,-88,2 
1520482337,f1bbccddeeaa,1520482331,ffbbccddeeaa,-78,2 
